Country Name,Hitech detail Code,Hitech detail desc,Time,Total Value
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-01,3002584
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-02,4862673
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-03,1517736
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-04,4524940
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-05,3881572
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-06,8412635
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-07,6529363
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-08,1216096
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-09,3927662
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-10,4210787
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-11,4617721
OECD,8411814050,"GAS TURBINE A/C TBN EXC CIVIL, 5000 KW AND UNDER",2017-12,8203673
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-01,1477224
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-02,3669635
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-03,10039441
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-04,4744817
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-05,3339221
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-06,4545635
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-07,1357936
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-08,1612293
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-09,458554
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-10,1536825
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-11,467020
OECD,8411824050,"GAS TURBINE A/C TBN EXC CIVIL, OVER 5000 KW",2017-12,12519413
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-01,94571651
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-02,63153928
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-03,85186934
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-04,71899155
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-05,89069067
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-06,93783533
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-07,73198381
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-08,75987054
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-09,100362542
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-10,74723151
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-11,111740748
OECD,8411917050,"PARTS OF TURBOJET & TURBOPROPELLR A/C ENG,EX CIVIL",2017-12,119402243
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-01,47296948
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-02,35649327
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-03,105661281
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-04,63013224
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-05,42042019
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-06,84472216
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-07,38442710
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-08,37891204
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-09,63880539
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-10,30531626
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-11,36376383
OECD,8411997050,"PARTS OF GAS TURBINE A/C ENG, EXC CIVIL A/C",2017-12,75846597
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-01,10784244
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-02,3061805
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-03,2742591
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-04,1113287
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-05,12412292
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-06,2199477
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-07,999038
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-08,11972368
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-09,3148185
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-10,819075
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-11,318829
OECD,8412100010,MISSILE AND ROCKET REACTION ENGINES,2017-12,703473
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-01,4802494623
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-02,4894494810
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-03,5978378411
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-04,5614973041
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-05,5376678338
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-06,5123417276
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-07,5444838314
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-08,5362537229
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-09,5910992258
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-10,6126367504
OECD,8800000000,"CIVILIAN AIRCRAFT, ENGINES, EQUIPMENT, AND PARTS",2017-11,5904281036
